name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Annapurna Vaishnav Family Dhaba,Moosapet,Casual Dining,3.1,4 votes,4 reviews,https://www.zomato.com/hyderabad/annapurna-vaishnav-family-dhaba-moosapet,75,North Indian,₹450,11:30 AM to 11 PM (Mon-Sun),,,,,,,
RRR Chinese Corner,Ameerpet,Quick Bites,2.9,10 votes,8 reviews,https://www.zomato.com/hyderabad/rrr-chinese-corner-ameerpet,75,"Chinese, North Indian",₹500,11 AM to 11 PM (Mon-Sun),,,,,,,
The Hotel RUCHIES,Ameerpet,Casual Dining,2.9,12 votes,9 reviews,https://www.zomato.com/hyderabad/the-hotel-ruchies-ameerpet,76,"North Indian, Mughlai, Chinese",₹500,12 Noon to 11 PM (Mon-Sun),,,,,,,
Mukundhan's Home-made Pizza,Gachibowli,,,,12 reviews,https://www.zomato.com/hyderabad/mukundhans-home-made-pizza-gachibowli,76,Pizza,₹350,,,,,,,,
Green Bawarchi,Balanagar,Casual Dining,3.1,12 votes,7 reviews,https://www.zomato.com/hyderabad/green-bawarchi-balanagar,76,"North Indian, Chinese, Biryani",₹450,11 AM to 11 PM (Mon-Sun),,,,,,,
Jhilmil Santosh Family Dhaba,Manikonda,Quick Bites,2.8,14 votes,10 reviews,https://www.zomato.com/hyderabad/jhilmil-santosh-family-dhaba-manikonda,76,"Chinese, North Indian",₹350,11 AM to 11:30 PM (Mon-Sun),,,,,,,
Majestic International,Nallakunta,Casual DiningBar,3.3,16 votes,6 reviews,https://www.zomato.com/hyderabad/majestic-international-nallakunta,76,"Andhra, Chinese, Biryani",₹400,11 AM to 11 PM (Mon-Sun),,,,,,,
F & F Bristo Caffe,Kukatpally,CaféCasual Dining,2.9,4 votes,3 reviews,https://www.zomato.com/hyderabad/f-f-bristo-caffe-kukatpally,76,"Indian, Cafe, Chinese",₹450,11 AM to 12:30 AM (Mon-Sun),,,,,,,
Cafe Choco Craze,Bowenpally,Café,-,,1 Review,https://www.zomato.com/hyderabad/cafe-choco-craze-bowenpally-secunderabad,76,Cafe,₹500,11 AM to 11 PM (Mon-Sun),,,,,,,
Varshini Chat & Ice Cream,Rajendra Nagar,Dessert Parlor,3.1,9 votes,4 reviews,https://www.zomato.com/hyderabad/varshini-chat-ice-cream-rajendra-nagar,76,"Ice Cream, Desserts, Street Food",₹300,10 AM to 12 Midnight (Mon-Sun),,,,,,,
Chopati Chat,Chanda Nagar,Quick Bites,3.2,8 votes,5 reviews,https://www.zomato.com/hyderabad/chopati-chat-chanda-nagar,76,Street Food,₹150,3 PM to 10 PM (Mon-Sun),,,,,,,
The Oriental Bistro,Attapur,Casual Dining,-,,2 reviews,https://www.zomato.com/hyderabad/the-oriental-bistro-attapur,76,"Chinese, Thai",₹600,11 AM to 11 PM (Mon-Sun),,,,,,,
Just Donuts,Begumpet,Dessert ParlorKiosk,3.2,6 votes,5 reviews,https://www.zomato.com/hyderabad/just-donuts-begumpet,76,Desserts,₹150,12 Noon to 10 PM (Mon-Sun),,,,,,,
N Hotel,Jubilee Hills,Quick Bites,3.1,5 votes,2 reviews,https://www.zomato.com/hyderabad/n-hotel-jubilee-hills,76,South Indian,₹150,6 AM to 9 PM (Mon-Sun),,,,,,,
